brand_name,category,homepage_url,event_url,confidence,priority
파나소닉,생활,https://www.panasonic.co.kr,https://www.panasonic.co.kr/event/events_view.do?seq=113&tabcnt=tabcnt1,high,2차
휴테크,생활,https://i-hutech.com,https://www.i-hutech.com/story/promotion?bdSno=171&section=event,high,2차
노랑풍선,여행,https://www.ybtour.co.kr,https://pkg.ybtour.co.kr/promotion/promotionDetail.yb?mstNo=20000031606,high,2차
대한항공,여행,https://www.koreanair.com,https://www.koreanair.com/contents/promotion/guide/plcc_hub?eventCode=KAL00,high,2차
롯데월드,여행,https://www.lotteworld.com,https://www.lotteworld.com/gate/event.html,high,2차
신라호텔,여행,https://www.shilla.net,https://www.samsungcard.com/personal/event/ing/UHPPBE1403M0.jsp?cms_id=3733830,high,2차
에버랜드,여행,https://www.everland.com,https://www.everland.com/everland/event,high,2차
제주항공,여행,https://www.jejuair.net,https://www.jejuair.net/ko/event/event.do,high,2차
BMW 코리아,자동차,https://www.bmw.co.kr,https://www.bmw.co.kr/ko/more-bmw/bmw-special-sales.html,high,2차
KB손해보험,자동차,https://www.kbinsure.co.kr,http://direct.kbinsure.co.kr/websquare/promotion.jsp?pid=1090036&code=0002&page=index,high,2차
그린카,자동차,https://www.greencar.co.kr,https://www.greencar.co.kr/event/event-tab,high,2차
금호타이어,자동차,https://www.kumhotire.com,https://www.kumhotire.com/ko/brd/event/list.do,high,2차
넥센타이어,자동차,https://www.nexentire.com,https://www.nexentire.com/kr/media/event,high,2차
메르세데스-벤츠,자동차,https://www.mercedes-benz.co.kr,https://www.mercedes-benz.co.kr/passengercars/brand/news-events.html,high,2차
미니 코리아,자동차,https://www.mini.co.kr,https://www.mini.co.kr/ko_KR/home/offers/special-offers/this-month-special-offer.html,high,2차
쏘카,자동차,https://www.socar.kr,https://www.socar.kr/benefit,high,2차
아우디 코리아,자동차,https://www.audi.co.kr,https://www.audikoreaevent.co.kr/app/rsvt/applyServiceReservation.do,high,2차
지프 코리아,자동차,https://www.jeep.co.kr,https://www.jeep.co.kr/shopping_tools/incentive_offer.html,high,2차
토요타 코리아,자동차,https://www.toyota.co.kr,https://www.toyota.co.kr/test-drive/event/,high,2차
한국타이어,자동차,https://www.hankooktire.com,https://www.hankooktire.com/kr/ko/promotion.html,high,2차
더블하트,키즈,https://www.doubleheart.co.kr,https://www.doubleheart.co.kr/board/event/read.html?no=877&board_no=8,high,2차
레고,키즈,https://www.lego.com/ko-kr,https://www.lego.com/ko-kr/page/lego-offers-promotions,high,2차
몽디에스,키즈,https://www.mongdies.com,https://www.mongdies.com/product/list_event.html?cate_no=124,high,2차
밀크T,키즈,https://www.milkt.co.kr,https://www.milkt.co.kr/Event/UpperElementary,high,2차
베베쿡,키즈,https://www.bebecook.com,https://www.bebecook.com/page/event,high,2차
블루래빗,키즈,https://www.bluerabbit.co.kr,https://www.bluerabbit.co.kr/board/list.php?bdId=event,high,2차
쁘리마쥬,키즈,https://www.primagekorea.com,https://www.primagekorea.com/EVENT,high,2차
스펙트라,키즈,https://www.spectrababy.co.kr,https://www.spectrababy.co.kr/board/list.php?bdId=event&period=current,high,2차
앙블랑,키즈,https://www.enblanc.co.kr,https://www.enblanc.co.kr/board/list.php?bdId=event&period=current,high,2차
웅진북클럽,키즈,https://www.wjbookclub.co.kr,https://www.wjthinkbig.com/benefit/benefit.do,high,2차
유팡,키즈,https://www.upang.co.kr,https://www.upang.co.kr/shop1/front/php/b/board_list.php?board_no=8&is_pcver=T,high,2차
킨도,키즈,https://www.kindoh.co.kr,https://www.kindoh.co.kr/board/gallery/list.html?board_no=8,high,2차
함소아,키즈,https://www.hamsoa.com,https://www.hamsoa.com/news/02/,high,2차
